Comuna_Origen;Especialidad_Destino;Rango_Edad;Establecimiento_Destino;CIE-10;Observacion;Tipo_Especialidad
EL TABO;OTORRINOLARINGOLOGIA;5 a 64 años, 11 meses, 29 días;CENTRO DE SALUD FAMILIAR SAN ANTONIO;, HIPOACUSIA CONDUCTIVA BILATERAL (H900) , HIPOACUSIA CONDUCTIVA, SIN OTRA ESPECIFICACION (H902) , HIPOACUSIA CONDUCTIVA, UNILATERAL CON AUDICION IRRESTRICTA CONTRALATERAL (H901) , HIPOACUSIA CONDUCTIVA Y NEUROSENSORIAL (H90) , HIPOACUSIA MIXTA CONDUCTIVA Y NEUROSENSORIAL, BILATERAL (H906) , HIPOACUSIA MIXTA CONDUCTIVA Y NEUROSENSORIAL, NO ESPECIFICADA (H908) , HIPOACUSIA MIXTA CONDUCTIVA Y NEUROSENSORIAL UNILATERAL CON AUDICION IRRRESTRICTA CONTRALATERAL (H907) , HIPOACUSIA NEUROSENSORIAL, BILATERAL (H903) , HIPOACUSIA NEUROSENSORIAL, SIN OTRA ESPECIFICACION (H905) , HIPOACUSIA NEUROSENSORIAL, UNILATERAL CON AUDICION IRRESTRICTA CONTRALATERAL (H904) , HIPOACUSIA, NO ESPECIFICADA (H919) , OTALGIA (H920) , OTALGIA Y SECRECION DEL OIDO (H92) , OTRAS HIPOACUSIAS (H91) , OTRAS HIPOACUSIAS ESPECIFICADAS (H918) , OTRAS PERCEPCIONES AUDITIVAS ANORMALES (H932);Sin observación;Médica (R) 
JUAN FERNANDEZ;CIRUGÍA PEDIÁTRICA;0 a 14 años, 11 meses, 29 días;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;ENDOCRINOLOGÍA PEDIÁTRICA;0 a 14 años, 11 meses, 29 días;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;ENFERMEDADES RESPIRATORIAS PEDIÁTRICAS;0 a 14 años, 11 meses, 29 días;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;GASTROENTEROLOGÍA PEDIATRICA;0 a 14 años, 11 meses, 29 días;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;GINECOLOGÍA PEDIÁTRICA Y DE LA ADOLESCENCIA;0 a 14 años, 11 meses, 29 días;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;MEDICINA FISICA Y REHABILITACIÓN PEDIÁTRICA;0 a 14 años, 11 meses, 29 días;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;NEFROLOGÍA PEDIÁTRICA;0 a 14 años, 11 meses, 29 días;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;NEUROLOGÍA PEDIÁTRICA;0 a 14 años, 11 meses, 29 días;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;NUTRICIÓN CLÍNICA PEDIÁTRICA;0 a 14 años, 11 meses, 29 días;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;PEDIATRIA;0 a 14 años, 11 meses, 29 días;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);, ANEMIA DE TIPO NO ESPECIFICADO (D649) , ANEMIA SIDEROBLASTICA SECUNDARIA A OTRA ENFERMEDAD (D641) , ANEMIA SIDEROBLASTICA SECUNDARIA, DEBIDA A DROGAS Y TOXINAS (D642) , DERMATITIS ATOPICA, NO ESPECIFICADA (L209) , OTRAS ANEMIAS ESPECIFICADAS (D648) , OTRAS ANEMIAS SIDEROBLASTICAS (D643) , OTRAS DERMATITIS ATOPICAS (L208) , PIE PLANO (PES PLANUS) (ADQUIRIDO) (M214) , PRURIGO DE BESNIER (L200);Sin observación;Médica
JUAN FERNANDEZ;CARDIOLOGIA;Toda edad;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;CARDIOLOGIA;Desde 15 años;HOSPITAL DR EDUARDO PEREIRA RAMÍREZ (VALPARAÍSO);, ASISTENCIA Y AJUSTE DE MARCAPASO CARDIACO (Z450);Sin observación;Médica
JUAN FERNANDEZ;CIRUGÍA DE CABEZA, CUELLO Y MAXILOFACIAL;Desde 15 años;HOSPITAL DR EDUARDO PEREIRA RAMÍREZ (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;CIRUGÍA DE TÓRAX;Desde 15 años;HOSPITAL DR EDUARDO PEREIRA RAMÍREZ (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;CIRUGÍA GENERAL;Desde 15 años;HOSPITAL DR EDUARDO PEREIRA RAMÍREZ (VALPARAÍSO);, ENFERMEDADES INMUNOPROLIFERATIVAS MALIGNAS (C88);Sin observación;Médica
JUAN FERNANDEZ;CIRUGÍA GENERAL;Desde 15 años;HOSPITAL DR EDUARDO PEREIRA RAMÍREZ (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;CIRUGIA VASCULAR PERIFERICA;Desde 15 años;HOSPITAL DR EDUARDO PEREIRA RAMÍREZ (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;COLOPROCTOLOGÍA;Desde 15 años;HOSPITAL DR EDUARDO PEREIRA RAMÍREZ (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;DERMATOLOGIA;Toda edad;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);, TRASTORNO DE LA PIEL Y DEL TEJIDO SUBCUTANEO, NO ESPECIFICADO (L989) , TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA PIEL (D485);Sin observación;Médica
JUAN FERNANDEZ;DIABETOLOGÍA;Desde 15 años;HOSPITAL DR EDUARDO PEREIRA RAMÍREZ (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;ENDOCRINOLOGIA ADULTO;Desde 15 años;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;ENFERMEDADES RESPIRATORIAS DEL ADULTO;Desde 15 años;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;ENFERMEDADES RESPIRATORIAS DEL ADULTO;Desde 15 años;HOSPITAL DR EDUARDO PEREIRA RAMÍREZ (VALPARAÍSO);, AFECCIONES RESPIRATORIAS DEBIDAS A OTROS AGENTES EXTERNOS (J70) , AFECCIONES RESPIRATORIAS POR INHALACION GASES, HUMOS, VAPORES Y SUSTANCIAS QUIMICAS (J68) , APNEA DEL SUEÑO (G473) , BRONQUIECTASIA (J47) , CONTACTO CON Y EXPOSICION A TUBERCULOSIS (Z201) , DERRAME PLEURAL EN AFECCIONES CLASIFICADAS EN OTRA PARTE (J91) , DERRAME PLEURAL NO CLASIFICADO EN OTRA PARTE (J90) , EMBOLIA PULMONAR (I26) , ENFERMEDADES DE LAS VIAS AEREAS DEBIDAS A POLVOS ORGANICOS ESPECIFICOS (J66) , EOSINOFILIA PULMONAR, NO CLASIFICADA EN OTRA PARTE (J82) , LESION DE SITIOS CONTIGUOS DE LOS BRONQUIOS Y DEL PULMON (C348) , LESION DE SITIOS CONTIGUOS DEL CORAZON, DEL MEDIASTINO Y DE LA PLEURA (C388) , LINFADENOPATIA PERIFERICA TUBERCULOSA (A182) , MENINGITIS TUBERCULOSA (G01*) (A170) , NEUMOCONIOSIS ASOCIADA CON TUBERCULOSIS (J65) , NEUMOCONIOSIS DE LOS MINEROS DEL CARBON (J60) , NEUMOCONIOSIS DEBIDA A OTROS POLVOS INORGANICOS (J63) , NEUMOCONIOSIS DEBIDA A POLVO DE SILICE (J62) , NEUMOCONIOSIS DEBIDA AL ASBESTO Y A OTRAS FIBRAS MINERALES (J61) , NEUMOCONIOSIS, NO ESPECIFICADA (J64) , NEUMONITIS DEBIDA A HIPERSENSIBILIDAD AL POLVO ORGANICO (J67) , NEUMONITIS DEBIDA A SOLIDOS Y LIQUIDOS (J69) , NEUMOTORAX (J93) , OBESIDAD EXTREMA CON HIPOVENTILACION ALVEOLAR (E662) , OTRAS AFECCIONES DE LA PLEURA (J94) , OTRAS ENFERMEDADES PULMONARES INTERSTICIALES (J84) , OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO (A178) , OTRAS TUBERCULOSIS MILIARES (A198) , OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLOGICA E HISTOLOGICAMENTE (A158) , OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCION DE CONFIRMACION (A168) , PAQUIPLEURITIS (J92) , PIOTORAX (J86) , PLEURESIA TUBERCULOSA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE (A156) , PLEURESIA TUBERCULOSA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA (A165) , TRASTORNOS RESPIRATORIOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE (J99) , TUBERCULOMA MENINGEO (G07*) (A171) , TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE (A154) , TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA (A163) , TUBERCULOSIS DE GLANDULAS SUPRARRENALES (E35.1*) (A187) , TUBERCULOSIS DE HUESOS Y ARTICULACIONES (A180) , TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO (A184) , TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE (A155) , TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS SIN MENCION DE CONFIRMACION BACTERIOLOGICA HISTOLOGICA (A164) , TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y LOS GANGLIOS MESENTERICOS (A183) , TUBERCULOSIS DE OTROS ORGANOS (A18) , TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS (A188) , TUBERCULOSIS DEL APARATO GENITOURINARIO (A181) , TUBERCULOSIS DEL OIDO (A186) , TUBERCULOSIS DEL OJO (A185) , TUBERCULOSIS DEL PULMON, CON EXAMEN BACTERIOLOGICO E HISTOLOGICO NEGATIVOS (A160) , TUBERCULOSIS DEL PULMON, CONFIRMADA HISTOLOGICAMENTE (A152) , TUBERCULOSIS DEL PULMON CONFIRMADA POR HALLAZGO MICROSCOPICO DEL BACILO TUBERCULOSO EN ESPUTO CON O SIN CULTIVO (A150) , TUBERCULOSIS DEL PULMON, CONFIRMADA POR MEDIOS NO ESPECIFICADOS (A153) , TUBERCULOSIS DEL PULMON, CONFIRMADA UNICAMENTE POR CULTIVO (A151) , TUBERCULOSIS DEL PULMON, SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO (A161) , TUBERCULOSIS DEL PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA (A162) , TUBERCULOSIS DEL SISTEMA NERVIOSO (A17) , TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA (G99.8*) (A179) , TUBERCULOSIS MILIAR (A19) , TUBERCULOSIS MILIAR AGUDA DE SITIOS MULTIPLES (A191) , TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO (A190) , TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA (A192) , TUBERCULOSIS MILIAR, SIN OTRA ESPECIFICACION (A199) , TUBERCULOSIS RESPIRATORIA CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE (A15) , TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA O HISTOLOGICAMEMTE (A16) , TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE (A159) , TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCION DE CONFIRMAC BACTERIOLOGICA O HISTOLOGICA (A169) , TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE (A157) , TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA (A167) , TUMOR MALIGNO DE LA PLEURA (C384) , TUMOR MALIGNO DE LA TRAQUEA (C33) , TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA (C349) , TUMOR MALIGNO DE LOS BRONQUIOS Y DEL PULMON (C34) , TUMOR MALIGNO DE OTROS SITIOS Y DE MAL DEFINIDOS DEL SISTEMA RESPIRATORIO Y DE LOS ORGANOS INTRATORACICOS (C39) , TUMOR MALIGNO DEL BRONQUIO PRINCIPAL (C340) , TUMOR MALIGNO DEL LOBULO INFERIOR, BRONQUIO O PULMON (C343) , TUMOR MALIGNO DEL LOBULO MEDIO, BRONQUIO O PULMON (C342) , TUMOR MALIGNO DEL LOBULO SUPERIOR, BRONQUIO O PULMON (C341) , TUMOR MALIGNO DEL MEDIASTINO ANTERIOR (C381) , TUMOR MALIGNO DEL MEDIASTINO, PARTE NO ESPECIFICADA (C383) , TUMOR MALIGNO DEL MEDIASTINO POSTERIOR (C382) , TUMOR MALIGNO DEL TIMO (C37);Sin observación;Médica
JUAN FERNANDEZ;GASTROENTEROLOGÍA ADULTO;Desde 15 años;HOSPITAL DR EDUARDO PEREIRA RAMÍREZ (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;HEMATOLOGIA;Toda edad;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;INFECTOLOGIA;Toda edad;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;INFECTOLOGIA;Desde 15 años;HOSPITAL DR EDUARDO PEREIRA RAMÍREZ (VALPARAÍSO);, HEPATITIS AGUDA TIPO B (B16) , HEPATITIS AGUDA TIPO C (B171) , HEPATITIS VIRAL CRONICA (B18) , HEPATITIS VIRAL TIPO B CRONICA, CON AGENTE DELTA (B180) , HEPATITIS VIRAL TIPO B CRONICA, SIN AGENTE DELTA (B181) , HEPATITIS VIRAL TIPO C CRONICA (B182);Sin observación;Médica
JUAN FERNANDEZ;MEDICINA FÍSICA Y REHABILITACIÓN ADULTO;Desde 15 años;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;MEDICINA INTERNA;Desde 15 años;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);, ATENCION PALIATIVA (Z515);Sin observación;Médica
JUAN FERNANDEZ;MEDICINA INTERNA;Desde 15 años;HOSPITAL DR EDUARDO PEREIRA RAMÍREZ (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;NEFROLOGÍA ADULTO;Desde 15 años;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);, ENFERMEDAD RENAL CRÓNICA, ESTADIO 4 (N184) , OTROS TRASTORNOS ESPECIFICADOS DEL RIÑON Y DEL URETER (N288);Sin observación;Médica
JUAN FERNANDEZ;NEUROCIRUGIA;Toda edad;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;NEUROLOGÍA ADULTO;Desde 15 años;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;OBSTETRICIA Y GINECOLOGÍA;Desde 18 años;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);, PROBLEMAS RELACIONADOS CON EL AMBIENTE SOCIAL (Z60);Sin observación;Médica
JUAN FERNANDEZ;OBSTETRICIA Y GINECOLOGÍA;Desde 15 años;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;OFTALMOLOGIA;Toda edad;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;OTORRINOLARINGOLOGIA;Toda edad;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;PSIQUIATRÍA ADULTO;Desde 18 años;HOSPITAL DEL SALVADOR (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;REUMATOLOGIA;Toda edad;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;TRAUMATOLOGÍA Y ORTOPEDIA;Toda edad;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;UROLOGIA;Toda edad;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;PSIQUIATRÍA PEDIÁTRICA Y DE LA ADOLESCENCIA;0 a 17 años, 11 meses, 29 días.;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);, PROBLEMAS RELACIONADOS CON EL AMBIENTE SOCIAL (Z60);Sin observación;Médica
JUAN FERNANDEZ;PSIQUIATRÍA PEDIÁTRICA Y DE LA ADOLESCENCIA;0 a 17 años, 11 meses, 29 días.;HOSPITAL DEL SALVADOR (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
JUAN FERNANDEZ;OFTALMOLOGIA;Toda edad;CENTRO DE SALUD FAMILIAR MARCELO MENA;, ALTERACION VISUAL, NO ESPECIFICADA (H539) , BLEFARITIS (H010) , BLEFAROPTOSIS (H024) , CALACIO (CHALAZION) (H001) , ECTROPION DEL PARPADO (H021) , ENTROPION Y TRIQUIASIS PALPEBRAL (H020) , GLAUCOMA (H40) , GLAUCOMA, NO ESPECIFICADO (H409) , GLAUCOMA PRIMARIO DE ANGULO ABIERTO (H401) , GLAUCOMA SECUNDARIO A DROGAS (H406) , GLAUCOMA SECUNDARIO A OTROS TRASTORNOS DEL OJO (H405) , LAGOFTALMOS (H022) , ORZUELO Y CALACIO (H00) , ORZUELO Y OTRAS INFLAMACIONES PROFUNDAS DEL PARPADO (H000) , OTROS GLAUCOMAS (H408) , OTROS TRASTORNOS DE LA CONJUNTIVA (H11) , OTROS TRASTORNOS DEGENERATIVOS DEL GLOBO OCULAR (H443) , OTROS TRASTORNOS ESPECIFICADOS DEL CRISTALINO (H278) , PTERIGION (H110) , SOSPECHA DE GLAUCOMA (H400) , TRASTORNO DE LA RETINA, NO ESPECIFICADO (H359) , TRASTORNO DE LAS VIAS OPTICAS, NO ESPECIFICADO (H477) , TRASTORNO DEL CRISTALINO, NO ESPECIFICADO (H279) , TRASTORNO DEL PARPADO, NO ESPECIFICADO (H029) , TRASTORNOS DEL GLOBO OCULAR (H44);Sin observación;Médica (R) 
JUAN FERNANDEZ;OFTALMOLOGIA;Desde 9 años;CENTRO DE SALUD FAMILIAR MARCELO MENA;, ESTRABISMO, NO ESPECIFICADO (H509);Sin observación;Médica (R) 
JUAN FERNANDEZ;OTORRINOLARINGOLOGIA;Desde 18 años;CENTRO DE SALUD FAMILIAR LAS CAÑAS;, ENFERMEDAD DE MENIERE (H810) , NEURONITIS VESTIBULAR (H812) , OTITIS EXTERNA (H60) , OTITIS EXTERNA AGUDA, NO INFECCIOSA (H605) , OTITIS EXTERNA, SIN OTRA ESPECIFICACION (H609) , OTITIS MEDIA AGUDA SEROSA (H650) , OTITIS MEDIA CRONICA MUCOIDE (H653) , OTITIS MEDIA CRONICA SEROSA (H652) , OTITIS MEDIA, NO ESPECIFICADA (H669) , OTITIS MEDIA NO SUPURATIVA (H65) , OTITIS MEDIA NO SUPURATIVA, SIN OTRA ESPECIFICACION (H659) , OTITIS MEDIA SUPURATIVA AGUDA (H660) , OTITIS MEDIA SUPURATIVA CRONICA ATICOANTRAL (H662) , OTITIS MEDIA SUPURATIVA, SIN OTRA ESPECIFICACION (H664) , OTITIS MEDIA SUPURATIVA Y LA NO ESPECIFICADA (H66) , OTITIS MEDIA TUBOTIMPANICA SUPURATIVA CRONICA (H661) , OTRA OTITIS MEDIA AGUDA, NO SUPURATIVA (H651) , OTRAS OTITIS EXTERNAS (H608) , OTRAS OTITIS EXTERNAS INFECCIOSAS (H603) , OTRAS OTITIS MEDIAS CRONICAS NO SUPURATIVAS (H654) , OTRAS OTITIS MEDIAS CRONICAS SUPURATIVAS (H663) , OTROS TRASTORNOS DE LA FUNCION VESTIBULAR (H818) , OTROS VERTIGOS PERIFERICOS (H813) , TRASTORNOS DE LA FUNCION VESTIBULAR (H81) , VERTIGO PAROXISTICO BENIGNO (H811);Sin observación;Médica (R) 
JUAN FERNANDEZ;OTORRINOLARINGOLOGIA;Toda edad;CENTRO DE SALUD FAMILIAR LAS CAÑAS;, CERUMEN IMPACTADO (H612) , RINITIS CRONICA (J310);Sin observación;Médica (R) 
JUAN FERNANDEZ;OFTALMOLOGIA;Hasta 64 años, 11 meses, 29 días;CENTRO DE SALUD FAMILIAR MARCELO MENA;, ANISOMETROPIA Y ANISEICONIA (H523) , ASTIGMATISMO (H522) , DEFECTOS DEL CAMPO VISUAL (H534) , HIPERMETROPIA (H520) , MIOPIA (H521) , MIOPIA DEGENERATIVA (H442) , OTRAS ALTERACIONES VISUALES (H538) , OTROS TRASTORNOS DE LA REFRACCION (H526) , PRESBICIA (H524) , TRASTORNO DE LA REFRACCION, NO ESPECIFICADO (H527) , TRASTORNOS DE LA ACOMODACION (H525) , TRASTORNOS DE LA ACOMODACION Y DE LA REFRACCION (H52);Sin observación;Médica (R) 
JUAN FERNANDEZ;OTORRINOLARINGOLOGIA;18 a 64 años. 11 meses, 29 días;CENTRO DE SALUD FAMILIAR LAS CAÑAS;, HIPOACUSIA CONDUCTIVA BILATERAL (H900) , HIPOACUSIA CONDUCTIVA, SIN OTRA ESPECIFICACION (H902) , HIPOACUSIA CONDUCTIVA, UNILATERAL CON AUDICION IRRESTRICTA CONTRALATERAL (H901) , HIPOACUSIA CONDUCTIVA Y NEUROSENSORIAL (H90) , HIPOACUSIA MIXTA CONDUCTIVA Y NEUROSENSORIAL, BILATERAL (H906) , HIPOACUSIA MIXTA CONDUCTIVA Y NEUROSENSORIAL, NO ESPECIFICADA (H908) , HIPOACUSIA MIXTA CONDUCTIVA Y NEUROSENSORIAL UNILATERAL CON AUDICION IRRRESTRICTA CONTRALATERAL (H907) , HIPOACUSIA NEUROSENSORIAL, BILATERAL (H903) , HIPOACUSIA NEUROSENSORIAL, SIN OTRA ESPECIFICACION (H905) , HIPOACUSIA NEUROSENSORIAL, UNILATERAL CON AUDICION IRRESTRICTA CONTRALATERAL (H904) , HIPOACUSIA, NO ESPECIFICADA (H919) , OTALGIA (H920) , OTALGIA Y SECRECION DEL OIDO (H92) , OTRAS HIPOACUSIAS (H91) , OTRAS HIPOACUSIAS ESPECIFICADAS (H918) , OTRAS PERCEPCIONES AUDITIVAS ANORMALES (H932);Sin observación;Médica (R) 
JUAN FERNANDEZ;OFTALMOLOGIA;65 a 150 años;Unidad Oftalmológica Móvil;, ASTIGMATISMO (H522) , HIPERMETROPIA (H520) , MIOPIA (H521) , PRESBICIA (H524);Sin observación;Tecnólogo médico
NAVIDAD;MEDICINA FISICA Y REHABILITACIÓN PEDIÁTRICA;0 a 1 años, 11 meses, 29 días;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
NAVIDAD;OFTALMOLOGIA;0 a 8 años, 11 meses, 29 días;HOSPITAL CLAUDIO VICUÑA ( SAN ANTONIO);, ESTRABISMO CONCOMITANTE CONVERGENTE (H500) , ESTRABISMO CONCOMITANTE DIVERGENTE (H501) , ESTRABISMO, NO ESPECIFICADO (H509) , ESTRABISMO PARALITICO (H49) , ESTRABISMO PARALITICO, NO ESPECIFICADO (H499) , OTROS ESTRABISMOS (H50) , OTROS ESTRABISMOS ESPECIFICADOS (H508) , OTROS ESTRABISMOS PARALITICOS (H498);Sin observación;Médica
NAVIDAD;CARDIOLOGIA;0 a 14 años, 11 meses, 29 días;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);, OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA CIRCULATORIO, ESPECIFICADA (Q288);Sin observación;Médica
NAVIDAD;CIRUGÍA PEDIÁTRICA;0 a 14 años, 11 meses, 29 días;HOSPITAL CLAUDIO VICUÑA ( SAN ANTONIO);Sin restricción CIE-10;Sin observación;Médica
NAVIDAD;ENDOCRINOLOGÍA PEDIÁTRICA;0 a 14 años, 11 meses, 29 días;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);Sin restricción CIE-10;Sin observación;Médica
NAVIDAD;ENFERMEDADES RESPIRATORIAS PEDIÁTRICAS;0 a 14 años, 11 meses, 29 días;HOSPITAL CARLOS VAN BUREN (VALPARAÍSO);, FIBROSIS QUISTICA (E84) , FIBROSIS QUISTICA CON MANIFESTACIONES INTESTINALES (E841) , FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES (E840) , FIBROSIS QUISTICA CON OTRAS MANIFESTACIONES (E848) , FIBROSIS QUISTICA, SIN OTRA ESPECIFICACION (E849);Sin observación;Médica
